,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PercentAmplitude,PeriodLS
4405,0.018000000000000002,0.001569,1,0.31,-0.006999999999999999,2e-06,0.184874,13.13836,0.000677,0.006,0.47,0.00274,70.8863
4406,0.114,0.002428,1,0.273333,0.043,-1e-06,2.244669,18.468723,0.002971,0.0325,0.516667,0.009939,1.41812
4407,0.1445,0.0,1,0.210702,0.17,-2e-06,2.534562,18.256157,0.004318,0.032,0.538462,0.014921,1.143106
4408,0.00975,0.045259,2,0.297297,0.001,2e-06,0.13209300000000002,13.191124,0.000408,0.004,0.486486,0.001516,1.007585
4409,0.1055,0.003493,9,0.227545,-0.005,-0.00018,0.126146,14.029832,0.003282,0.03,0.371257,0.008907,76.248255
4410,0.025,0.001063,2,0.323333,0.006999999999999999,-1.3e-05,0.321681,13.854779999999998,0.0008619999999999999,0.0075,0.496667,0.002851,0.9995
4411,0.282,0.0,1,0.19,0.29,-2.6e-05,0.41881,18.928927,0.007384999999999998,0.0615,0.5966670000000001,0.029246,1.122466
4412,0.011,0.087052,3,0.342246,-0.0025,-1.1e-05,0.107527,13.917663,0.000423,0.004,0.326203,0.001078,10.591145
4413,0.08199999999999999,0.127615,3,0.343333,-0.017,-2.6e-05,1.778531,15.352273,0.002844,0.032,0.35,0.007684999999999998,30.575633000000003
4414,0.03625,1e-05,5,0.349727,-0.0235,-5.7e-05,0.441826,13.82994,0.0014609999999999998,0.016,0.251366,0.003904,14.828213
4415,0.78725,7.000000000000002e-06,15,0.436364,0.0795,0.0007570000000000001,0.067798,13.806564000000002,0.036686,0.456,0.209091,0.06955599999999999,251.325615
4416,0.345,0.0,1,0.416667,-0.1965,4e-06,0.560144,18.836270000000006,0.010692,0.138,0.32,0.026365,0.554126
4417,0.0225,0.622012,2,0.343333,0.0,1e-06,0.022692,15.254257,0.0007639999999999999,0.008,0.39,0.002163,18.154109
4418,0.0295,0.010731999999999998,5,0.303333,-0.012,1.2e-05,1.6733360000000002,14.987817,0.001036,0.01,0.463333,0.003736,175.573648
4419,0.0415,0.696513,4,0.377551,0.006,-4.5e-05,0.291333,12.103408,0.001905,0.016,0.316327,0.004462,0.4996020000000001
4420,0.024,0.667103,3,0.306667,0.002,-2e-06,0.026763,15.413957,0.000808,0.008,0.393333,0.002206,0.5006470000000001
4421,0.248,0.013733,1,0.35,0.0035,4e-06,0.336384,18.837223,0.0071049999999999985,0.1055,0.3,0.015892,0.611016
4422,0.2315,0.0,3,0.223333,0.061,0.001893,32.460243,18.718183,0.005656,0.034,0.73,0.020155000000000003,0.532187
4423,0.0305,0.234709,2,0.31,-0.004,-7.000000000000002e-06,0.228833,15.149673000000002,0.001023,0.01,0.47,0.003498,1.00309
4424,0.081,0.099961,3,0.411765,0.0315,-1.1e-05,0.042517,13.047657,0.003441,0.0365,0.284314,0.008662000000000001,1.01715
4425,0.0135,0.001893,9,0.346667,0.002,-4e-06,0.414304,15.313187,0.000489,0.005,0.473333,0.001633,86.64923
4426,0.08,0.0,1,0.26,0.0475,0.0,0.061837,17.794863,0.002149,0.022,0.493333,0.008320000000000001,18.814207
4427,0.0545,0.00086,3,0.227273,0.006,1.4e-05,0.012561,12.622466,0.001731,0.009000000000000001,0.568182,0.004912,0.988166
4428,0.014,0.07113799999999999,3,0.31097600000000003,-0.006,5e-06,1.294278,15.606341,0.000521,0.005,0.5243899999999999,0.002179,0.500598
4429,0.113,0.06762,8,0.313333,-0.01,-2.4e-05,0.026546,14.276093,0.004004,0.0395,0.45,0.011105,723.661972
4430,0.2265,0.0,23,0.35,-0.07200000000000001,-0.00015900000000000002,0.218487,13.50007,0.009132,0.09,0.25666700000000003,0.020138,491.666527
